## net.sf.picard.metrics.StringHeader
# net.sf.picard.sam.MarkDuplicates INPUT=[/n/rinn_data1/users/agroff/seq/OtherMice/Diana/lincP21/bam/JR931/rmdup_accepted_hits_sorted_picard.bam] OUTPUT=/n/rinn_data1/users/agroff/seq/OtherMice/Diana/lincP21/bam/JR931/rmdup_accepted_hits_sorted_duplicates_marked.bam METRICS_FILE=dup_metrics.txt    PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates REMOVE_DUPLICATES=false ASSUME_SORTED=false MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 READ_NAME_REGEX=[a-zA-Z0-9]+:[0-9]:([0-9]+):([0-9]+):([0-9]+).* OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## net.sf.picard.metrics.StringHeader
# Started on: Wed Apr 01 11:33:13 EDT 2015

## METRICS CLASS	net.sf.picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	1675945	42927484	0	1281547	117690	68879	0.01733	18801756879

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.001605
2.0	2.000926
3.0	2.997968
4.0	3.992737
5.0	4.985236
6.0	5.975472
7.0	6.96345
8.0	7.949175
9.0	8.932652
10.0	9.913886
11.0	10.892882
12.0	11.869645
13.0	12.844181
14.0	13.816494
15.0	14.78659
16.0	15.754474
17.0	16.72015
18.0	17.683624
19.0	18.644901
20.0	19.603985
21.0	20.560883
22.0	21.515598
23.0	22.468135
24.0	23.418501
25.0	24.366699
26.0	25.312734
27.0	26.256612
28.0	27.198338
29.0	28.137916
30.0	29.075351
31.0	30.010648
32.0	30.943812
33.0	31.874849
34.0	32.803761
35.0	33.730556
36.0	34.655236
37.0	35.577808
38.0	36.498276
39.0	37.416645
40.0	38.33292
41.0	39.247104
42.0	40.159204
43.0	41.069224
44.0	41.977169
45.0	42.883043
46.0	43.786851
47.0	44.688597
48.0	45.588288
49.0	46.485926
50.0	47.381518
51.0	48.275067
52.0	49.166578
53.0	50.056056
54.0	50.943505
55.0	51.828931
56.0	52.712337
57.0	53.593729
58.0	54.473111
59.0	55.350487
60.0	56.225862
61.0	57.099241
62.0	57.970628
63.0	58.840028
64.0	59.707445
65.0	60.572884
66.0	61.436349
67.0	62.297845
68.0	63.157377
69.0	64.014948
70.0	64.870563
71.0	65.724227
72.0	66.575945
73.0	67.425719
74.0	68.273556
75.0	69.11946
76.0	69.963434
77.0	70.805484
78.0	71.645613
79.0	72.483826
80.0	73.320128
81.0	74.154522
82.0	74.987014
83.0	75.817607
84.0	76.646305
85.0	77.473114
86.0	78.298038
87.0	79.12108
88.0	79.942245
89.0	80.761537
90.0	81.578961
91.0	82.39452
92.0	83.20822
93.0	84.020064
94.0	84.830057
95.0	85.638202
96.0	86.444504
97.0	87.248968
98.0	88.051597
99.0	88.852395
100.0	89.651367

